frame,processing_ms,deadline_ms,deadline_missed
1857,14.285678,10.000000,1
1858,14.467771,10.000000,1
1859,14.494215,10.000000,1
1860,14.567271,10.000000,1
1861,14.792680,10.000000,1
1862,14.493938,10.000000,1
1863,14.649717,10.000000,1
1864,14.583883,10.000000,1
1865,14.707625,10.000000,1
1866,14.406605,10.000000,1
1867,14.623698,10.000000,1
1868,14.617272,10.000000,1
1869,14.383363,10.000000,1
1870,14.643217,10.000000,1
1871,14.509253,10.000000,1
1872,14.420882,10.000000,1
1873,14.536587,10.000000,1
1874,14.522531,10.000000,1
1875,14.516660,10.000000,1
1876,14.341104,10.000000,1
1877,14.523364,10.000000,1
1878,14.646642,10.000000,1
1879,14.650717,10.000000,1
1880,14.548791,10.000000,1
1881,15.029349,10.000000,1
1882,14.557235,10.000000,1
1883,14.775958,10.000000,1
1884,14.781163,10.000000,1
1885,14.566346,10.000000,1
1886,14.544161,10.000000,1
1887,14.631828,10.000000,1
1888,15.590370,10.000000,1
1889,14.830218,10.000000,1
1890,14.418660,10.000000,1
1891,15.272610,10.000000,1
1892,14.522605,10.000000,1
1893,15.265369,10.000000,1
1894,15.436591,10.000000,1
1895,14.439401,10.000000,1
1896,14.527735,10.000000,1
1897,14.356159,10.000000,1
1898,15.211386,10.000000,1
1899,15.912762,10.000000,1
1900,15.211276,10.000000,1
1901,14.870663,10.000000,1
1902,14.581642,10.000000,1
1903,15.082460,10.000000,1
1904,14.757848,10.000000,1
1905,14.321252,10.000000,1
1906,14.344419,10.000000,1
1907,15.719853,10.000000,1
1908,16.112670,10.000000,1
1909,14.401568,10.000000,1
1910,14.316437,10.000000,1
1911,14.687810,10.000000,1
1912,14.451031,10.000000,1
1913,14.623902,10.000000,1
1914,14.288678,10.000000,1
1915,14.694495,10.000000,1
1916,14.853144,10.000000,1
1917,14.330826,10.000000,1
1918,14.234066,10.000000,1
1919,14.466419,10.000000,1
1920,14.268233,10.000000,1
1921,14.537456,10.000000,1
1922,14.885885,10.000000,1
1923,14.563235,10.000000,1
1924,14.541976,10.000000,1
1925,14.659976,10.000000,1
1926,14.408826,10.000000,1
1927,14.023898,10.000000,1
1928,14.317400,10.000000,1
1929,14.374844,10.000000,1
1930,14.454994,10.000000,1
1931,14.500179,10.000000,1
1932,14.643069,10.000000,1
1933,14.381493,10.000000,1
1934,14.710180,10.000000,1
1935,14.771829,10.000000,1
1936,14.523568,10.000000,1
1937,14.694347,10.000000,1
1938,14.570401,10.000000,1
1939,14.050194,10.000000,1
1940,14.339345,10.000000,1
1941,14.826810,10.000000,1
1942,14.255474,10.000000,1
1943,14.424512,10.000000,1
1944,14.658680,10.000000,1
1945,14.391400,10.000000,1
1946,14.375048,10.000000,1
1947,14.345733,10.000000,1
1948,14.680606,10.000000,1
1949,14.498179,10.000000,1
1950,14.656254,10.000000,1
1951,14.970441,10.000000,1
1952,14.461456,10.000000,1
1953,14.561291,10.000000,1
1954,14.746588,10.000000,1
1955,14.625495,10.000000,1
1956,14.709161,10.000000,1
1957,14.604124,10.000000,1
1958,14.721180,10.000000,1
1959,15.207646,10.000000,1
1960,14.539438,10.000000,1
1961,15.853983,10.000000,1
1962,14.898348,10.000000,1
1963,15.017219,10.000000,1
1964,14.409530,10.000000,1
1965,14.564272,10.000000,1
1966,15.426925,10.000000,1
1967,15.354165,10.000000,1
1968,14.854589,10.000000,1
1969,15.228535,10.000000,1
1970,14.903885,10.000000,1
1971,14.258437,10.000000,1
1972,14.882274,10.000000,1
1973,14.653921,10.000000,1
1974,14.483623,10.000000,1
1975,15.486963,10.000000,1
1976,15.462981,10.000000,1
1977,14.322678,10.000000,1
1978,14.861940,10.000000,1
1979,14.622847,10.000000,1
1980,16.170763,10.000000,1
1981,14.690995,10.000000,1
1982,14.418678,10.000000,1
1983,14.733791,10.000000,1
1984,15.352980,10.000000,1
1985,14.385308,10.000000,1
1986,14.713476,10.000000,1
1987,14.711791,10.000000,1
1988,14.634254,10.000000,1
1989,15.663649,10.000000,1
1990,15.211313,10.000000,1
1991,14.370437,10.000000,1
1992,14.475420,10.000000,1
1993,14.805274,10.000000,1
1994,14.739680,10.000000,1
1995,14.426790,10.000000,1
1996,14.713791,10.000000,1
1997,14.803700,10.000000,1
1998,14.427327,10.000000,1
1999,14.105288,10.000000,1
2000,14.549957,10.000000,1
2001,14.611402,10.000000,1
2002,14.281641,10.000000,1
2003,14.982015,10.000000,1
2004,14.673495,10.000000,1
2005,14.221585,10.000000,1
2006,14.540531,10.000000,1
2007,14.298289,10.000000,1
2008,14.548346,10.000000,1
2009,14.717514,10.000000,1
2010,14.650476,10.000000,1
2011,14.285530,10.000000,1
2012,14.511308,10.000000,1
2013,14.786662,10.000000,1
2014,15.154738,10.000000,1
2015,14.300826,10.000000,1
2016,14.343622,10.000000,1
2017,14.519661,10.000000,1
2018,14.736532,10.000000,1
2019,14.342511,10.000000,1
2020,14.471290,10.000000,1
2021,14.880237,10.000000,1
2022,14.603828,10.000000,1
2023,14.319048,10.000000,1
2024,15.215961,10.000000,1
2025,14.370049,10.000000,1
2026,14.588864,10.000000,1
2027,14.858255,10.000000,1
2028,14.798273,10.000000,1
2029,15.832946,10.000000,1
2030,14.750162,10.000000,1
2031,14.700032,10.000000,1
2032,14.960644,10.000000,1
2033,15.667982,10.000000,1
2034,14.987200,10.000000,1
2035,15.941318,10.000000,1
2036,15.227998,10.000000,1
2037,14.492642,10.000000,1
2038,16.246856,10.000000,1
2039,14.649328,10.000000,1
2040,14.531308,10.000000,1
2041,14.677939,10.000000,1
2042,14.448938,10.000000,1
2043,16.277097,10.000000,1
2044,15.262128,10.000000,1
2045,14.551790,10.000000,1
2046,14.407085,10.000000,1
2047,14.685291,10.000000,1
2048,14.536438,10.000000,1
2049,14.832551,10.000000,1
2050,14.518475,10.000000,1
2051,14.794847,10.000000,1
2052,14.445327,10.000000,1
2053,14.137474,10.000000,1
2054,14.714921,10.000000,1
2055,14.373345,10.000000,1
2056,14.288752,10.000000,1
2057,14.269214,10.000000,1
2058,14.515920,10.000000,1
2059,14.578420,10.000000,1
2060,14.424363,10.000000,1
2061,14.422030,10.000000,1
2062,14.669235,10.000000,1
2063,14.771680,10.000000,1
2064,14.613383,10.000000,1
2065,14.348382,10.000000,1
2066,14.667939,10.000000,1
2067,14.567976,10.000000,1
2068,14.538569,10.000000,1
2069,14.476919,10.000000,1
2070,14.398641,10.000000,1
2071,14.611494,10.000000,1
2072,14.926775,10.000000,1
2073,14.714643,10.000000,1
2074,14.853922,10.000000,1
2075,14.496049,10.000000,1
2076,14.250158,10.000000,1
2077,14.543643,10.000000,1
2078,14.360604,10.000000,1
2079,14.890626,10.000000,1
2080,14.275085,10.000000,1
2081,14.224622,10.000000,1
2082,14.394141,10.000000,1
2083,14.627847,10.000000,1
2084,14.368660,10.000000,1
2085,14.712199,10.000000,1
2086,14.584957,10.000000,1
2087,14.654162,10.000000,1
2088,14.597087,10.000000,1
2089,14.670791,10.000000,1
2090,14.605772,10.000000,1
2091,14.330493,10.000000,1
2092,15.399999,10.000000,1
2093,14.370215,10.000000,1
2094,14.459845,10.000000,1
2095,15.160831,10.000000,1
2096,14.495104,10.000000,1
2097,15.740853,10.000000,1
2098,14.973478,10.000000,1
2099,15.139479,10.000000,1
2100,14.418864,10.000000,1
2101,14.301956,10.000000,1
2102,15.698464,10.000000,1
2103,15.469259,10.000000,1
2104,15.519945,10.000000,1
2105,14.827774,10.000000,1
2106,14.959792,10.000000,1
2107,14.500605,10.000000,1
2108,14.426826,10.000000,1
2109,14.665828,10.000000,1
2110,14.485142,10.000000,1
2111,15.847058,10.000000,1
2112,15.360740,10.000000,1
2113,14.576643,10.000000,1
2114,14.819959,10.000000,1
2115,14.436679,10.000000,1
2116,14.692791,10.000000,1
2117,14.455123,10.000000,1
2118,14.650439,10.000000,1
2119,14.588402,10.000000,1
2120,14.427049,10.000000,1
2121,14.558050,10.000000,1
2122,14.487697,10.000000,1
2123,14.726236,10.000000,1
2124,14.326123,10.000000,1
2125,14.458845,10.000000,1
2126,14.577606,10.000000,1
2127,14.671199,10.000000,1
2128,14.344382,10.000000,1
2129,14.569161,10.000000,1
2130,14.400660,10.000000,1
2131,14.564680,10.000000,1
2132,14.596253,10.000000,1
2133,14.757958,10.000000,1
2134,14.561995,10.000000,1
2135,14.259307,10.000000,1
2136,14.676810,10.000000,1
2137,14.617828,10.000000,1
2138,14.386622,10.000000,1
2139,14.518457,10.000000,1
2140,14.199177,10.000000,1
2141,14.504864,10.000000,1
2142,14.202733,10.000000,1
2143,14.591143,10.000000,1
2144,14.961552,10.000000,1
2145,14.784070,10.000000,1
2146,14.709032,10.000000,1
2147,14.561512,10.000000,1
2148,14.654643,10.000000,1
2149,14.932552,10.000000,1
2150,14.601513,10.000000,1
2151,14.264270,10.000000,1
2152,14.407919,10.000000,1
2153,14.545883,10.000000,1
2154,14.414585,10.000000,1
2155,14.718587,10.000000,1
2156,14.403419,10.000000,1
2157,14.316789,10.000000,1
2158,14.544864,10.000000,1
2159,14.339122,10.000000,1
2160,15.356036,10.000000,1
2161,14.198696,10.000000,1
2162,14.335512,10.000000,1
2163,14.586790,10.000000,1
2164,14.701421,10.000000,1
2165,15.592111,10.000000,1
2166,14.769996,10.000000,1
2167,15.273683,10.000000,1
2168,14.518216,10.000000,1
2169,14.647106,10.000000,1
2170,14.862237,10.000000,1
2171,14.628531,10.000000,1
2172,16.116763,10.000000,1
2173,14.932533,10.000000,1
2174,15.170127,10.000000,1
2175,14.597068,10.000000,1
2176,14.459030,10.000000,1
2177,14.282066,10.000000,1
2178,14.443178,10.000000,1
2179,15.502704,10.000000,1
2180,14.847514,10.000000,1
2181,14.738661,10.000000,1
2182,14.809310,10.000000,1
2183,14.751681,10.000000,1
2184,14.464457,10.000000,1
2185,14.607031,10.000000,1
2186,14.603495,10.000000,1
2187,14.734995,10.000000,1
2188,14.373363,10.000000,1
2189,14.688050,10.000000,1
2190,14.553420,10.000000,1
2191,14.454290,10.000000,1
2192,14.832236,10.000000,1
2193,14.268641,10.000000,1
2194,14.783588,10.000000,1
2195,14.232900,10.000000,1
2196,14.461179,10.000000,1
2197,14.574883,10.000000,1
2198,14.316733,10.000000,1
2199,14.723680,10.000000,1
2200,14.753680,10.000000,1
2201,14.313344,10.000000,1
2202,14.361437,10.000000,1
2203,14.736902,10.000000,1
2204,14.380715,10.000000,1
2205,14.586142,10.000000,1
2206,14.424141,10.000000,1
2207,14.345307,10.000000,1
2208,14.417864,10.000000,1
2209,14.410456,10.000000,1
2210,14.819310,10.000000,1
2211,14.462957,10.000000,1
2212,14.433179,10.000000,1
2213,14.531438,10.000000,1
2214,14.337956,10.000000,1
2215,14.669328,10.000000,1
2216,14.680920,10.000000,1
2217,14.729365,10.000000,1
2218,14.973978,10.000000,1
2219,14.592087,10.000000,1
2220,14.544031,10.000000,1
2221,14.649050,10.000000,1
2222,14.614421,10.000000,1
2223,14.209177,10.000000,1
2224,14.714217,10.000000,1
2225,14.193843,10.000000,1
2226,14.354659,10.000000,1
2227,14.553883,10.000000,1
2228,14.301752,10.000000,1
2229,15.368629,10.000000,1
2230,14.390271,10.000000,1
2231,15.187720,10.000000,1
2232,14.528216,10.000000,1
2233,14.547643,10.000000,1
2234,15.959558,10.000000,1
2235,15.873576,10.000000,1
2236,14.354808,10.000000,1
